speed,mileage,lastMaintenanceDaysAgo,previous_delay,congestion,occupancyPercentage,delay_minutes,maintenance_status
119,16828,107,22,1,34,0,Healthy
100,67514,191,2,7,99,31,Critical
80,62664,18,2,9,40,32,Healthy
72,27883,145,17,5,20,15,Healthy
107,53059,167,24,1,86,5,Minor Issue
72,94078,71,42,5,31,35,Minor Issue
53,52932,106,19,1,47,19,Healthy
60,71269,54,57,9,58,62,Healthy
87,85986,94,28,4,56,26,Critical
59,95959,76,21,9,79,51,Critical
47,12035,35,49,2,50,31,Healthy
46,50745,11,56,7,77,57,Healthy
106,27241,61,14,2,30,8,Healthy
56,62975,44,38,4,48,34,Healthy
72,33154,121,9,6,32,18,Healthy
87,35625,68,20,2,70,20,Healthy
115,54950,25,54,2,73,37,Healthy
98,66396,176,51,2,38,35,Critical
61,23331,160,28,3,77,28,Healthy
69,73927,84,31,5,55,25,Healthy
77,96226,114,9,9,47,33,Healthy
90,94719,132,12,6,87,22,Critical
93,73014,166,46,9,22,41,Critical
47,49346,191,22,5,60,30,Minor Issue
66,80411,175,49,6,54,49,Critical
66,64478,1,22,8,95,52,Healthy
60,22254,131,30,3,95,25,Healthy
69,65734,86,3,2,69,12,Minor Issue
67,38621,62,51,3,93,35,Healthy
103,86441,64,48,9,49,61,Minor Issue
108,56121,145,59,6,91,51,Critical
100,91418,126,2,4,96,13,Minor Issue
87,70197,105,20,3,89,21,Minor Issue
58,94577,62,52,2,73,43,Critical
43,52431,35,1,4,90,12,Healthy
74,14837,13,3,9,70,32,Healthy
103,93163,163,0,4,47,5,Critical
88,81232,43,14,5,83,36,Minor Issue
56,58994,130,56,8,40,54,Minor Issue
83,89079,184,32,2,46,9,Critical
69,22615,111,5,3,46,19,Healthy
85,11466,128,6,6,96,28,Healthy
45,40771,51,18,7,69,33,Healthy
76,93886,182,43,4,48,36,Critical
63,75911,144,0,1,58,0,Minor Issue
85,30746,146,38,7,76,36,Healthy
92,98422,135,18,9,56,37,Critical
99,70739,45,44,1,83,27,Minor Issue
102,83369,164,25,1,67,16,Critical
71,11893,169,43,1,41,21,Minor Issue
72,40573,42,11,7,49,24,Healthy
106,50874,135,21,9,47,36,Healthy
57,87362,15,12,3,42,11,Healthy
64,97460,60,27,8,23,45,Minor Issue
93,43367,40,13,9,22,36,Healthy
97,31199,165,21,3,80,18,Healthy
106,84328,194,29,3,23,22,Critical
85,67724,112,43,1,84,23,Minor Issue
63,96133,183,19,2,31,12,Critical
71,46405,77,43,7,32,53,Healthy
86,25989,105,26,3,53,26,Healthy
62,38931,107,37,7,78,49,Healthy
105,19290,122,58,5,92,49,Minor Issue
66,48367,80,41,8,50,50,Healthy
41,89878,125,51,5,90,45,Minor Issue
56,89481,184,55,3,32,39,Critical
72,86298,172,40,9,73,57,Critical
48,40133,185,33,7,21,41,Critical
82,37052,134,38,5,52,37,Healthy
87,95489,32,40,7,69,43,Healthy
78,50475,108,56,9,26,55,Healthy
81,92666,114,43,5,37,33,Critical
65,67656,146,36,7,70,45,Critical
89,14633,68,0,9,27,28,Healthy
64,27304,127,53,1,74,32,Minor Issue
63,56546,135,14,4,95,25,Healthy
52,17008,114,31,1,62,23,Healthy
99,58291,8,7,8,78,34,Healthy
46,37405,64,32,3,49,30,Healthy
96,46386,135,17,2,78,7,Healthy
75,30827,41,44,4,28,46,Healthy
84,43040,40,28,3,87,32,Healthy
59,70354,3,31,5,58,38,Healthy
104,88543,145,32,8,30,36,Critical
47,28157,194,4,8,21,26,Healthy
55,45315,110,17,7,42,26,Healthy
53,45932,114,47,8,82,57,Healthy
115,31164,112,57,5,41,45,Minor Issue
54,24414,180,9,6,80,28,Minor Issue
105,24327,150,35,8,45,51,Minor Issue
71,10946,4,32,1,31,22,Healthy
102,24693,134,22,6,51,33,Healthy
90,37241,166,39,6,28,40,Minor Issue
64,25540,26,4,5,88,23,Healthy
97,82255,139,33,4,90,35,Minor Issue
102,74757,17,23,1,52,2,Healthy
101,51203,92,16,8,43,30,Healthy
61,35081,31,30,6,88,34,Healthy
97,71861,163,6,3,57,4,Minor Issue
97,21350,144,16,3,30,19,Healthy
88,65512,107,27,6,51,28,Healthy
91,66809,146,37,7,83,39,Minor Issue
81,52832,111,21,8,91,43,Minor Issue
109,38369,101,14,5,39,18,Healthy
54,41728,112,36,6,53,44,Minor Issue
93,27576,62,14,1,61,17,Healthy
99,39001,112,49,6,27,46,Healthy
47,93384,155,49,9,85,56,Minor Issue
92,10390,163,24,4,40,27,Healthy
99,97535,116,52,1,98,33,Minor Issue
44,55436,173,20,9,89,48,Minor Issue
107,21569,35,54,4,24,29,Healthy
45,23029,28,37,2,86,35,Healthy
86,32490,103,1,1,62,0,Healthy
94,55875,125,26,3,35,22,Minor Issue
79,15867,102,48,7,92,50,Healthy
91,90820,137,31,2,54,25,Minor Issue
55,19121,143,20,9,62,37,Healthy
52,11539,21,3,2,58,1,Healthy
69,27027,52,43,5,29,36,Healthy
58,84229,163,18,8,93,43,Critical
56,18921,97,1,8,39,21,Healthy
102,60435,51,25,3,20,18,Healthy
58,20310,83,33,2,25,27,Healthy
97,73965,55,13,9,72,30,Healthy
94,79922,77,14,3,65,17,Healthy
101,92839,127,19,8,85,40,Minor Issue
62,22242,172,33,2,57,25,Healthy
48,18947,193,35,3,52,31,Healthy
51,81466,93,18,1,86,10,Healthy
40,71816,88,8,6,96,33,Minor Issue
97,58785,80,6,7,54,24,Minor Issue
40,10507,153,29,4,98,37,Healthy
73,76972,92,12,1,64,20,Minor Issue
87,37151,47,26,3,41,20,Healthy
40,21618,184,43,9,87,63,Minor Issue
55,84286,38,34,5,36,42,Healthy
100,26122,139,12,6,24,20,Healthy
103,17354,195,14,4,76,16,Minor Issue
102,40979,15,45,1,59,28,Healthy
108,96436,1,55,5,49,41,Minor Issue
61,89376,135,8,5,61,28,Minor Issue
106,62774,1,44,5,26,38,Healthy
115,15037,49,22,6,90,27,Healthy
65,38633,96,53,2,38,29,Healthy
55,34495,157,35,1,60,25,Healthy
90,74550,26,52,2,53,35,Healthy
96,91384,87,39,6,41,32,Critical
68,46483,173,2,5,71,22,Critical
117,83373,93,33,5,25,31,Minor Issue
108,44069,102,18,6,93,32,Healthy
86,17370,71,27,7,44,40,Healthy
101,81947,140,22,9,85,38,Critical
108,49133,95,39,7,29,35,Minor Issue
115,10692,160,48,2,93,32,Minor Issue
55,38926,118,44,6,45,43,Healthy
87,83984,148,6,9,24,31,Critical
78,53390,119,40,7,87,53,Minor Issue
72,59593,51,11,2,90,11,Healthy
62,85609,81,13,3,69,14,Minor Issue
49,15209,36,45,8,36,57,Healthy
108,16533,67,14,9,30,27,Healthy
73,96597,129,2,4,72,13,Critical
91,17211,114,14,9,69,32,Healthy
49,19927,155,50,2,27,31,Healthy
58,87463,111,23,5,81,26,Healthy
97,34594,168,51,2,95,43,Critical
40,84852,142,45,1,48,36,Minor Issue
108,87713,100,7,5,63,13,Critical
43,86382,197,4,2,64,13,Critical
55,17933,109,50,7,48,46,Healthy
63,50696,120,3,8,78,34,Healthy
119,75449,79,13,2,34,1,Minor Issue
41,77616,134,15,7,89,44,Minor Issue
71,16089,161,19,4,63,27,Minor Issue
63,66548,183,23,1,55,14,Minor Issue
51,36123,19,5,3,76,13,Healthy
89,17797,127,54,1,83,36,Healthy
74,60013,29,56,5,95,48,Healthy
72,18346,189,30,8,57,50,Healthy
72,95414,198,5,1,36,4,Critical
100,43672,24,34,9,46,51,Healthy
90,27653,151,14,3,36,1,Healthy
82,59556,10,28,5,82,34,Healthy
51,36140,182,2,9,30,31,Minor Issue
106,11184,105,10,5,83,21,Healthy
104,44493,169,2,9,58,28,Minor Issue
72,54148,177,27,8,21,37,Healthy
79,34846,145,9,7,85,41,Minor Issue
113,32195,184,49,1,73,30,Healthy
82,15606,173,32,4,48,30,Healthy
83,13956,158,47,9,64,62,Healthy
68,26555,172,15,8,99,37,Healthy
52,28690,55,58,4,50,42,Healthy
51,68502,147,9,1,68,15,Minor Issue
85,58849,157,32,4,28,25,Minor Issue
41,36347,2,35,3,46,38,Healthy
74,59056,164,2,6,75,28,Minor Issue
47,73851,147,4,5,97,13,Minor Issue
65,91502,135,11,5,64,24,Critical
113,91418,154,56,2,62,40,Critical
73,80211,111,43,3,41,24,Minor Issue
46,51850,38,12,6,52,30,Healthy
107,88545,131,23,2,46,17,Critical
97,37843,102,43,4,59,35,Healthy
114,72320,194,56,2,45,33,Minor Issue
68,39793,95,31,9,64,55,Healthy
75,49516,92,15,3,64,10,Healthy
60,27857,71,31,6,45,42,Healthy
75,29627,171,44,1,89,33,Critical
49,71822,190,36,3,86,42,Critical
112,94101,199,55,8,25,47,Critical
63,62248,24,35,5,47,44,Healthy
103,65798,167,20,8,86,31,Minor Issue
88,54116,68,46,2,32,27,Healthy
75,85318,128,11,7,82,25,Minor Issue
63,97902,93,50,9,32,62,Critical
62,38557,44,20,7,96,36,Healthy
101,81334,133,59,3,20,43,Critical
76,85163,55,50,7,59,44,Minor Issue
51,88002,158,20,8,56,38,Critical
94,52614,29,42,1,50,33,Healthy
52,22720,154,52,3,36,36,Minor Issue
62,67608,154,5,5,28,22,Minor Issue
69,82095,37,8,6,83,30,Healthy
56,94694,115,0,3,76,5,Critical
101,97593,181,11,4,32,14,Critical
52,45892,158,57,5,56,59,Minor Issue
98,87242,3,13,3,33,9,Healthy
58,87606,122,5,4,94,17,Critical
88,10924,43,0,5,44,14,Healthy
51,61322,7,21,2,97,23,Healthy
100,36478,125,33,9,76,41,Healthy
58,81042,49,55,8,90,63,Healthy
115,56418,121,10,6,61,19,Healthy
48,72217,73,2,3,61,12,Minor Issue
110,90846,41,41,2,66,15,Minor Issue
67,83762,106,5,7,63,28,Critical
117,21781,77,5,8,60,17,Healthy
91,15515,182,19,1,22,11,Minor Issue
55,46133,127,20,6,20,34,Healthy
108,92508,197,1,7,98,14,Critical
51,86946,91,25,9,30,50,Critical
64,95058,155,30,3,26,24,Critical
91,19095,8,25,2,31,21,Healthy
92,98583,32,55,5,57,51,Minor Issue
62,30470,64,31,1,73,15,Healthy
55,53129,138,9,6,86,25,Minor Issue
96,18531,13,22,9,72,50,Healthy
78,47038,191,57,9,51,56,Minor Issue
92,97939,93,5,7,64,26,Critical
81,52674,163,22,7,70,32,Critical
97,92476,61,27,8,56,35,Critical
78,39831,182,48,2,78,35,Minor Issue
53,67174,8,29,6,73,51,Healthy
44,21279,29,13,5,37,28,Healthy
74,48220,95,36,5,20,28,Minor Issue
114,70610,41,54,3,40,36,Healthy
57,62719,158,31,3,47,18,Minor Issue
115,63051,149,48,6,35,30,Critical
48,82013,11,33,7,67,47,Healthy
113,66652,2,40,1,47,24,Healthy
97,75524,178,43,3,41,38,Minor Issue
56,92936,169,50,1,20,31,Critical
46,16470,194,21,3,61,24,Minor Issue
85,77598,131,30,5,89,34,Critical
52,51798,80,6,9,22,34,Healthy
79,63473,179,40,3,99,30,Critical
81,29880,196,20,9,63,38,Minor Issue
48,54439,87,15,1,46,6,Healthy
89,24308,153,19,6,70,27,Healthy
66,45081,158,42,9,43,50,Minor Issue
105,85242,106,43,5,39,32,Minor Issue
44,60383,139,46,2,51,32,Minor Issue
68,19837,17,49,5,32,44,Healthy
76,62151,154,18,1,62,19,Minor Issue
77,46824,23,47,9,39,57,Healthy
47,43073,184,31,9,21,44,Critical
104,36299,180,14,6,87,29,Minor Issue
56,68861,48,4,9,79,36,Healthy
110,40063,20,10,3,23,8,Healthy
84,79453,2,14,4,36,17,Healthy
43,78472,88,28,6,20,44,Minor Issue
75,24506,31,49,4,52,41,Healthy
109,89854,155,44,1,49,21,Critical
70,36026,130,3,7,24,17,Healthy
58,37672,78,48,5,31,48,Healthy
100,48417,4,35,8,51,38,Healthy
93,62413,141,47,9,57,62,Healthy
78,75066,163,22,5,36,16,Critical
113,69213,128,14,8,77,38,Minor Issue
58,60971,194,45,1,59,34,Critical
78,37281,134,43,1,43,23,Healthy
106,38091,31,2,7,31,14,Healthy
84,60494,138,31,6,38,41,Healthy
52,28610,21,9,5,48,31,Healthy
97,11079,23,39,5,71,35,Healthy
59,56751,131,37,9,36,54,Critical
111,96126,160,21,1,92,19,Critical
100,65432,148,13,8,40,32,Minor Issue
78,40951,29,16,2,79,16,Healthy
40,90863,105,20,7,94,39,Critical
42,88291,52,50,6,39,52,Minor Issue
116,69872,115,47,2,72,20,Minor Issue
101,17235,174,14,3,99,25,Healthy
102,92733,162,57,4,82,37,Critical
64,72712,101,14,7,76,29,Minor Issue
95,31473,84,0,8,48,21,Healthy
72,77567,61,23,2,20,10,Minor Issue
77,89823,125,54,8,78,54,Minor Issue
45,42230,71,54,9,83,74,Healthy
97,94573,70,11,7,91,39,Healthy
83,78876,139,9,1,90,17,Critical
84,50644,108,45,6,63,50,Healthy
71,58664,191,41,8,67,64,Minor Issue
84,55203,21,41,5,94,41,Healthy
100,76677,131,51,2,34,29,Minor Issue
86,35425,82,30,5,54,32,Healthy
60,94817,88,10,8,42,39,Critical
119,95961,111,53,2,72,37,Minor Issue
114,79806,10,15,1,64,16,Minor Issue
75,52814,155,8,4,32,14,Minor Issue
58,80219,12,46,4,53,33,Healthy
59,59646,7,13,9,57,35,Healthy
96,49884,145,18,3,89,25,Healthy
57,79322,193,30,4,87,32,Critical
86,31650,192,8,3,24,9,Critical
88,19190,114,35,2,59,26,Healthy
53,48196,26,52,4,89,57,Healthy
54,49449,15,38,8,40,53,Healthy
70,49661,33,53,1,47,36,Healthy
40,39709,62,25,8,22,41,Healthy
93,90428,47,7,8,42,22,Critical
42,85179,95,23,3,91,30,Minor Issue
55,19943,35,7,6,38,34,Healthy
96,53240,193,18,4,94,27,Critical
114,55760,76,46,1,69,23,Minor Issue
51,31042,123,47,1,93,33,Healthy
113,53894,83,29,5,77,38,Healthy
55,16869,25,57,8,39,57,Healthy
111,71078,57,21,1,91,13,Minor Issue
115,66759,32,54,2,72,29,Healthy
63,54306,63,8,7,28,24,Healthy
67,65371,12,57,8,23,60,Healthy
47,30918,63,57,3,60,44,Healthy
75,38379,77,43,8,44,50,Healthy
47,93232,92,47,1,53,26,Minor Issue
97,12962,1,3,9,92,30,Healthy
99,23851,179,36,2,28,32,Healthy
89,55747,70,7,2,94,11,Healthy
67,62349,136,0,4,32,12,Minor Issue
80,80832,196,27,3,28,17,Critical
103,66356,133,5,4,99,16,Minor Issue
66,24745,86,46,6,23,42,Healthy
102,15730,39,35,7,53,46,Healthy
56,23921,23,52,5,26,50,Healthy
112,81138,68,10,2,34,10,Minor Issue
72,93111,180,4,3,57,11,Critical
116,29023,4,49,3,94,47,Healthy
68,55349,126,23,5,71,35,Minor Issue
52,91533,175,46,5,26,35,Critical
85,93286,21,17,4,64,29,Minor Issue
74,51979,184,19,8,78,39,Minor Issue
45,32837,105,27,6,40,42,Healthy
108,24997,66,12,6,47,16,Healthy
86,98603,187,4,1,22,0,Critical
64,55039,7,29,6,33,39,Healthy
105,30923,49,0,3,21,3,Healthy
49,18876,16,21,6,48,32,Healthy
95,70973,145,17,6,37,13,Critical
69,12887,84,45,2,56,29,Healthy
44,73723,87,4,1,64,3,Minor Issue
72,52422,98,30,3,64,18,Healthy
104,61413,75,5,5,43,10,Healthy
57,12841,34,26,4,65,39,Healthy
88,38756,161,55,7,31,57,Minor Issue
50,81576,26,24,4,72,26,Minor Issue
65,20304,66,28,8,64,41,Healthy
102,40341,125,27,7,51,32,Critical
98,14758,63,15,9,37,38,Healthy
66,27010,87,53,1,32,33,Healthy
88,70758,41,52,5,23,38,Minor Issue
116,41658,186,11,4,42,10,Minor Issue
72,59002,98,19,6,81,38,Healthy
40,11375,124,17,1,73,24,Healthy
60,32092,79,33,6,93,39,Healthy
94,10490,10,54,1,74,33,Healthy
45,13729,15,52,1,88,39,Healthy
108,15974,42,22,8,59,35,Healthy
44,95216,93,44,2,33,37,Minor Issue
42,93860,185,26,6,47,36,Critical
92,31398,17,48,6,91,59,Healthy
62,44650,188,16,6,99,40,Healthy
92,31292,9,47,8,90,52,Healthy
76,13159,114,20,4,86,27,Healthy
113,72766,36,49,3,48,28,Healthy
113,27065,36,39,6,80,39,Healthy
56,31638,48,30,4,87,39,Healthy
117,11073,51,2,2,28,0,Healthy
112,56511,97,16,6,36,33,Healthy
40,94307,119,49,5,68,43,Minor Issue
90,39320,95,57,9,82,64,Healthy
84,79876,70,25,6,97,34,Healthy
116,44924,74,22,3,65,17,Healthy
43,91720,80,5,5,32,19,Critical
101,50734,68,27,8,64,37,Healthy
104,78116,150,7,9,72,37,Minor Issue
71,50025,77,54,8,36,65,Healthy
73,12159,116,57,3,66,32,Healthy
111,58940,6,44,9,81,61,Healthy
78,89436,154,7,3,69,26,Critical
65,86976,75,18,8,62,39,Minor Issue
73,24678,88,37,9,87,52,Healthy
93,71075,3,28,7,94,38,Healthy
42,57204,52,22,4,91,30,Healthy
89,22021,74,46,9,47,57,Healthy
51,16772,125,31,3,64,28,Healthy
104,77163,188,9,3,60,11,Critical
93,83755,191,26,2,55,14,Critical
44,33464,65,48,3,52,37,Healthy
96,61137,52,0,1,44,0,Healthy
56,40232,76,38,4,38,34,Healthy
86,71497,142,28,8,66,35,Minor Issue
62,84024,89,58,5,52,49,Minor Issue
118,61448,72,44,2,86,29,Healthy
53,94517,68,2,3,33,10,Minor Issue
105,10901,156,50,1,98,39,Healthy
